"ID";"Bedrijfskenmerken";"Perioden";"OpenstaandeVacatures_1";"OntstaneVacatures_2";"VervuldeVacatures_3"
"3859";"396400 ";"1997KW03";"     0.9";"       1";"       1"
"3860";"396400 ";"1997KW04";"     1.4";"       2";"       1"
"3861";"396400 ";"1997JJ00";"       .";"       6";"       6"
"3862";"396400 ";"1998KW01";"     1.3";"       1";"       2"
"3863";"396400 ";"1998KW02";"     1.3";"       2";"       2"
"3864";"396400 ";"1998KW03";"     0.9";"       1";"       1"
"3865";"396400 ";"1998KW04";"     1.6";"       3";"       2"
"3866";"396400 ";"1998JJ00";"     1.2";"       7";"       7"
"3867";"396400 ";"1999KW01";"     1.9";"       4";"       4"
"3868";"396400 ";"1999KW02";"     1.8";"       3";"       3"
"3869";"396400 ";"1999KW03";"     1.6";"       2";"       3"
"3870";"396400 ";"1999KW04";"     1.6";"       3";"       2"
"3871";"396400 ";"1999JJ00";"     1.7";"      12";"      12"
"3872";"396400 ";"2000KW01";"     3.5";"       6";"       4"
"3873";"396400 ";"2000KW02";"     2.5";"       3";"       4"
"3874";"396400 ";"2000KW03";"     2.1";"       2";"       3"
"3875";"396400 ";"2000KW04";"     2.4";"       3";"       3"
"3876";"396400 ";"2000JJ00";"     2.5";"      14";"      13"
"3877";"396400 ";"2001KW01";"     2.7";"       4";"       3"
"3878";"396400 ";"2001KW02";"     2.3";"       2";"       3"
"3879";"396400 ";"2001KW03";"     1.8";"       3";"       3"
"3880";"396400 ";"2001KW04";"     2.0";"       3";"       3"
"3881";"396400 ";"2001JJ00";"     2.2";"      12";"      12"
"3882";"396400 ";"2002KW01";"     1.4";"       2";"       2"
"3883";"396400 ";"2002KW02";"     1.4";"       2";"       2"
"3884";"396400 ";"2002KW03";"     0.5";"       1";"       2"
"3885";"396400 ";"2002KW04";"     0.8";"       1";"       1"
"3886";"396400 ";"2002JJ00";"     1.2";"       6";"       7"
"3887";"396400 ";"2003KW01";"     1.4";"       2";"       1"
"3888";"396400 ";"2003KW02";"     1.6";"       3";"       2"
"3889";"396400 ";"2003KW03";"     1.2";"       2";"       2"
"3890";"396400 ";"2003KW04";"     1.4";"       2";"       1"
"3891";"396400 ";"2003JJ00";"     1.3";"       8";"       7"
"3892";"396400 ";"2004KW01";"     1.5";"       2";"       2"
"3893";"396400 ";"2004KW02";"     1.8";"       4";"       4"
"3894";"396400 ";"2004KW03";"     2.0";"       3";"       3"
"3895";"396400 ";"2004KW04";"     2.8";"       4";"       3"
"3896";"396400 ";"2004JJ00";"     1.9";"      13";"      11"
"3897";"396400 ";"2005KW01";"     3.9";"       4";"       3"
"3898";"396400 ";"2005KW02";"     4.3";"       5";"       5"
"3899";"396400 ";"2005KW03";"     2.9";"       3";"       4"
"3900";"396400 ";"2005KW04";"     3.6";"       4";"       3"
"3901";"396400 ";"2005JJ00";"     3.6";"      16";"      16"
"3902";"396400 ";"2006KW01";"     8.8";"       7";"       2"
"3903";"396400 ";"2006KW02";"    10.3";"       6";"       5"
"3904";"396400 ";"2006KW03";"    12.8";"       6";"       3"
"3905";"396400 ";"2006KW04";"    12.0";"      11";"      12"
"3906";"396400 ";"2006JJ00";"     9.9";"      30";"      22"
"3907";"396400 ";"2007KW01";"    14.4";"      18";"      16"
"3908";"396400 ";"2007KW02";"     8.8";"       7";"      13"
"3909";"396400 ";"2007KW03";"     9.8";"      11";"      10"
"3910";"396400 ";"2007KW04";"    10.5";"      11";"      10"
"3911";"396400 ";"2007JJ00";"    11.1";"      47";"      49"
"3912";"396400 ";"2008KW01";"     7.9";"      10";"      12"
"3913";"396400 ";"2008KW02";"     7.6";"       8";"       9"
"3914";"396400 ";"2008KW03";"     7.6";"       7";"       7"
"3915";"396400 ";"2008KW04";"     5.7";"       5";"       7"
"3916";"396400 ";"2008JJ00";"     7.8";"      30";"      34"
"3917";"396400 ";"2009KW01";"     6.7";"       6";"       5"
"3918";"396400 ";"2009KW02";"     5.3";"       5";"       6"
"3919";"396400 ";"2009KW03";"     5.5";"       5";"       4"
"3920";"396400 ";"2009KW04";"     4.0";"       3";"       5"
"3921";"396400 ";"2009JJ00";"     5.6";"      19";"      20"
"3922";"396400 ";"2010KW01";"     3.9";"       3";"       3"
